	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	0	1260	1673	4351	20516		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	1	1673	1264	20512	4351		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_macro_avg_	2933	2937	24863	24867		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_micro_avg_	2933	2937	24863	24867		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_0_	182	183	2697	2698	span_distance	0.0
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_1_	195	196	2297	2298	span_distance	1.0
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_2_	207	207	1812	1812	span_distance	2.0
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_3_	167	169	1525	1527	span_distance	3.0
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_4_	185	187	1527	1529	span_distance	4.0
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_5_	154	153	1365	1364	span_distance	5.0
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_6_	138	135	1225	1222	span_distance	6.0
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_7_	132	132	1120	1120	span_distance	7.0
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_8_	138	138	1010	1010	span_distance	8.0
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_9_	115	116	957	958	span_distance	9.0
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_10_	110	110	889	889	span_distance	10.0
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_11_	103	102	749	748	span_distance	11.0
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_12_	103	103	696	696	span_distance	12.0
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_13_	95	96	609	610	span_distance	13.0
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_14_	91	91	566	566	span_distance	14.0
