	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11495	86	38	967		
1	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10764	35	49	1738		
2	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12484	17	23	62		
3	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12424	13	70	79		
4	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9980	60	231	2315		
5	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12560	4	13	9		
6	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	17	27		
7	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12341	30	45	170		
8	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12219	12	35	320		
9	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11568	28	30	960		
10	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12370	9	3	204		
11	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10457	127	293	1709		
12	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408		
13	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10169	283	155	1979		
14	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12489	7	48	42		
15	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12431	2	42	111		
16	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12334	27	16	209		
17	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12392	25	111	58		
18	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213193	769	1219	11367		
