	run	task	split	label	tn_count	fp_count	fn_count	tp_count
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11495	86	38	967
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10764	35	49	1738
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12484	17	23	62
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12424	13	70	79
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9980	60	231	2315
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12560	4	13	9
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12538	4	17	27
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12341	30	45	170
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12219	12	35	320
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11568	28	30	960
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12370	9	3	204
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10457	127	293	1709
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10169	283	155	1979
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12489	7	48	42
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12431	2	42	111
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12334	27	16	209
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12392	25	111	58
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213193	769	1219	11367
19	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213193	769	1219	11367
20	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18427	207	65	1655
21	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17085	61	76	3132
22	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20153	22	82	97
23	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20187	34	77	56
24	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16571	134	325	3324
25	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20312	7	20	15
26	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20285	4	12	53
27	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	19987	51	109	207
28	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19468	33	178	675
29	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19021	56	73	1204
30	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20014	5	8	327
31	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16300	256	567	3231
32	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	4	652
33	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	16663	528	320	2843
34	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20129	11	175	39
35	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20159	5	41	149
36	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19976	17	20	341
37	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20108	44	148	54
38	../../jiant_outputs/bert-base-uncased-mix_0-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	344543	1475	2300	18054
