	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	awareness	69	66	615	321		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	change_of_location	43	13	1003	12		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	change_of_state	141	128	547	255		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	changes_possession	51	11	986	23		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	created	56	24	974	17		
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	destroyed	40	1	1030	0		
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	existed_after	102	162	180	627		
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	existed_before	130	119	253	569		
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	existed_during	22	119	73	857		
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	exists_as_physical	112	73	636	250		
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	instigation	123	87	608	253		
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	location_of_event	68	15	974	14		
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	makes_physical_contact	92	31	890	58		
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	manipulated_by_another	110	130	335	496		
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	predicate_changed_argument	140	142	529	260		
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	sentient	62	36	791	182		
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	stationary	45	9	1009	8		
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	volition	74	74	647	276		
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_macro_avg_	1480	1240	12080	4478		
19	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_micro_avg_	1480	1240	12080	4478		
20	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_0_	550	406	4512	2020	span_distance	0.0
21	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_1_	267	220	2058	641	span_distance	1.0
22	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_2_	141	137	1169	335	span_distance	2.0
23	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_3_	96	83	936	289	span_distance	3.0
24	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_4_	84	83	704	245	span_distance	4.0
25	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_5_	61	68	582	171	span_distance	5.0
26	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_6_	42	33	357	90	span_distance	6.0
27	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_7_	51	51	358	116	span_distance	7.0
28	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_8_	25	33	265	91	span_distance	8.0
29	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_9_	21	19	225	113	span_distance	9.0
30	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_10_	21	32	221	86	span_distance	10.0
31	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_11_	26	3	115	36	span_distance	11.0
32	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_12_	17	7	98	40	span_distance	12.0
33	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_13_	11	19	85	29	span_distance	13.0
34	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_14_	3	3	35	31	span_distance	14.0
35	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_15_	11	4	36	21	span_distance	15.0
36	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_16_	5	0	36	13	span_distance	16.0
37	../../jiant_outputs/bert-base-uncased-mix_0-edges-spr1/run	edges-spr1	val	_span_distance_17_	12	2	44	14	span_distance	17.0
