	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG0	5352	2011	63634	12365		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG1	6725	6613	48188	21836		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG2	4811	1864	71826	4861		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG3	565	36	82642	119		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG4	295	57	82718	292		
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARG5	16	0	83346	0		
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGA	4	0	83358	0		
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-ADJ	204	18	83090	50		
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-ADV	1670	474	79707	1511		
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-CAU	178	99	82709	376		
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-COM	36	0	83326	0		
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DIR	333	72	82729	228		
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DIS	740	198	80146	2278		
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-DSP	2	0	83360	0		
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-EXT	230	31	83055	46		
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-GOL	99	0	83263	0		
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-LOC	1272	219	80946	925		
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-LVB	16	0	83306	40		
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-MNR	1162	240	81117	843		
19	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-MOD	8	5	80533	2816		
20	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-NEG	35	23	81772	1532		
21	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-PNC	113	0	83249	0		
22	../../jiant_outputs/bert-base-uncased-mix_0-edges-srl-ontonotes/run	edges-srl-ontonotes	val	ARGM-PRD	418	0	82944	0		
