	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	acl	24903	41	119	47		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	acl:relcl	24839	43	147	81		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	advcl	24711	35	312	52		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	advmod	23691	106	209	1104		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	amod	23703	160	190	1057		
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	appos	24924	11	152	23		
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	aux	24290	66	35	719		
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	aux:pass	24926	22	18	144		
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	case	22977	119	95	1919		
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cc	24318	7	18	767		
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cc:preconj	25096	0	8	6		
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	ccomp	24827	55	132	96		
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	compound	23856	220	554	480		
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	compound:prt	25019	17	20	54		
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	conj	24162	30	833	85		
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	cop	24479	39	40	552		
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	csubj	25070	0	38	2		
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	csubj:pass	25110	0	0	0		
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	dep	25108	0	2	0		
19	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	det	23227	60	33	1790		
20	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	det:predet	25087	2	15	6		
21	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	discourse	24986	1	70	53		
22	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	dislocated	25110	0	0	0		
23	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	expl	25016	7	20	67		
24	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	fixed	25047	5	4	54		
25	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	flat	24874	24	80	132		
26	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	flat:foreign	25097	0	13	0		
27	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	goeswith	25076	1	19	14		
28	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	iobj	25062	2	29	17		
29	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	list	25033	4	67	6		
30	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	mark	24210	116	119	665		
31	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nmod	24196	104	590	220		
32	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nmod:npmod	25100	1	7	2		
33	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nmod:poss	24712	11	76	311		
34	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nmod:tmod	25077	1	12	20		
35	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nsubj	22854	269	615	1372		
36	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nsubj:pass	24943	13	137	17		
37	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	nummod	24816	24	37	233		
38	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	obj	23598	279	523	710		
39	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	obl	23903	169	725	313		
40	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	obl:npmod	25057	7	32	14		
41	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	obl:tmod	25028	16	39	27		
42	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	orphan	25110	0	0	0		
43	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	parataxis	24871	0	238	1		
44	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	punct	22022	29	13	3046		
45	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	reparandum	25104	0	6	0		
46	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	root	23022	88	3	1997		
47	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	vocative	25088	1	16	5		
48	../../jiant_outputs/bert-base-uncased-mix_0-edges-dep-ud-ewt/run	edges-dep-ud-ewt	val	xcomp	24672	68	172	198		
