	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	entailed	139	334	140	336		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	not-entailed	218	258	217	256		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_macro_avg_	357	592	357	592		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_micro_avg_	357	592	357	592		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_0_	0	1	0	1	span_distance	0.0
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_1_	91	155	85	161	span_distance	1.0
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_2_	30	54	32	52	span_distance	2.0
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_3_	20	47	20	47	span_distance	3.0
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_4_	51	72	51	72	span_distance	4.0
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_5_	42	62	44	60	span_distance	5.0
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_6_	24	43	25	42	span_distance	6.0
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_7_	29	41	30	40	span_distance	7.0
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_8_	20	27	21	26	span_distance	8.0
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_9_	15	28	16	27	span_distance	9.0
14	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_10_	10	20	9	21	span_distance	10.0
15	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_11_	7	12	6	13	span_distance	11.0
16	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_12_	3	11	4	10	span_distance	12.0
17	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_13_	6	9	5	10	span_distance	13.0
18	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_14_	2	2	3	1	span_distance	14.0
19	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_15_	2	6	4	4	span_distance	15.0
20	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_16_	3	1	1	3	span_distance	16.0
21	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_17_	1	0	0	1	span_distance	17.0
22	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span_distance_20_	1	1	1	1	span_distance	20.0
23	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span1_length_1_	357	592	357	592	span1_length	1.0
24	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_1_	119	207	121	205	span2_length	1.0
25	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_2_	166	264	163	267	span2_length	2.0
26	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_3_	50	84	50	84	span2_length	3.0
27	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_4_	11	21	11	21	span2_length	4.0
28	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_5_	7	9	8	8	span2_length	5.0
29	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_6_	3	4	3	4	span2_length	6.0
30	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span2_length_7_	1	3	1	3	span2_length	7.0
31	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span1_span2_length_3_	25	50	23	52	span1_span2_length	3.0
32	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span1_span2_length_4_	62	100	58	104	span1_span2_length	4.0
33	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span1_span2_length_5_	37	75	40	72	span1_span2_length	5.0
34	../../jiant_outputs/bert-base-uncased-mix_0-edges-dpr/run/	edges-dpr	test	_span1_span2_length_6_	26	40	28	38	span1_span2_length	6.0
