	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	ADJP	186348	345	1882	1960		
1	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	ADVP	183700	368	1126	5341		
2	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	CONJP	190435	0	100	0		
3	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	EMBED	190455	0	80	0		
4	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	FRAG	190025	0	510	0		
5	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	INTJ	188433	377	343	1382		
6	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	LST	190515	0	20	0		
7	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	META	190456	0	79	0		
8	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	NAC	190521	0	14	0		
9	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	NML	187616	150	2239	530		
10	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	NP	116778	5816	11693	56248		
11	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	NX	190535	0	0	0		
12	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	PP	168762	1960	6320	13493		
13	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	PRN	190190	0	345	0		
14	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	PRT	189498	154	85	798		
15	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	QP	189518	147	414	456		
16	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	RRC	190510	0	25	0		
17	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	S	161825	4024	20125	4561		
18	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	SBAR	182978	379	6027	1151		
19	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	SBARQ	190185	25	302	23		
20	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	SINV	190285	0	250	0		
21	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	SQ	189915	1	617	2		
22	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	TOP	172151	6922	4942	6520		
23	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	UCP	190410	0	125	0		
24	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	VP	141770	11512	11737	25516		
25	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	WHADJP	190493	0	42	0		
26	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs/bert-base-uncased-mix_0-edges-nonterminal-ontonotes/run	edges-nonterminal-ontonotes	test	WHADVP	189644	25	31	835		
