	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	0	4351	1673	1260	20516		
1	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	1	20512	1264	1673	4351		
2	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_macro_avg_	24863	2937	2933	24867		
3	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_micro_avg_	24863	2937	2933	24867		
4	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_0_	2697	183	182	2698	span_distance	0.0
5	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_1_	2297	196	195	2298	span_distance	1.0
6	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_2_	1812	207	207	1812	span_distance	2.0
7	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_3_	1525	169	167	1527	span_distance	3.0
8	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_4_	1527	187	185	1529	span_distance	4.0
9	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_5_	1365	153	154	1364	span_distance	5.0
10	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_6_	1225	135	138	1222	span_distance	6.0
11	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_7_	1120	132	132	1120	span_distance	7.0
12	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_8_	1010	138	138	1010	span_distance	8.0
13	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_9_	957	116	115	958	span_distance	9.0
14	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_10_	889	110	110	889	span_distance	10.0
15	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_11_	749	102	103	748	span_distance	11.0
16	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_12_	696	103	103	696	span_distance	12.0
17	/cs/labs/oabend/lovodkin93/jiant_rep/jiant_outputs_old_results/bert-base-uncased-mix_0-edges-coref-ontonotes/run	edges-coref-ontonotes	test	_span_distance_13_	609	96	95	610	span_distance	13.0
