	run	task	split	label	tn_count	fp_count	fn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Cause-Effect(e1,e2)	2556	27	61	73		
1	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Cause-Effect(e2,e1)	2470	53	73	121		
2	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Component-Whole(e1,e2)	2534	21	69	93		
3	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Component-Whole(e2,e1)	2539	28	99	51		
4	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Content-Container(e1,e2)	2535	29	71	82		
5	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Content-Container(e2,e1)	2673	5	16	23		
6	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Entity-Destination(e1,e2)	2357	69	187	104		
7	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Entity-Destination(e2,e1)	2716	0	1	0		
8	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Entity-Origin(e1,e2)	2481	25	172	39		
9	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Entity-Origin(e2,e1)	2665	5	15	32		
10	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Instrument-Agency(e1,e2)	2693	2	18	4		
11	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Instrument-Agency(e2,e1)	2560	23	80	54		
12	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Member-Collection(e1,e2)	2681	4	19	13		
13	../../jiant_outputs/bert-base-uncased-mix_0-edges-rel-semeval/run	edges-rel-semeval	test	Member-Collection(e2,e1)	2477	39	54	147		
