	run	task	split	label	fn_count	fp_count	tn_count	tp_count	stratifier	stratum_key
0	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	0	603	570	5454	21173		
1	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	1	568	603	21173	5456		
2	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_macro_avg_	1171	1173	26627	26629		
3	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_micro_avg_	1171	1173	26627	26629		
4	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_0_	66	66	2814	2814	span_distance	0.0
5	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_1_	52	51	2442	2441	span_distance	1.0
6	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_2_	54	54	1965	1965	span_distance	2.0
7	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_3_	52	52	1642	1642	span_distance	3.0
8	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_4_	59	58	1656	1655	span_distance	4.0
9	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_5_	44	44	1474	1474	span_distance	5.0
10	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_6_	55	56	1304	1305	span_distance	6.0
11	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_7_	44	44	1208	1208	span_distance	7.0
12	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_8_	45	45	1103	1103	span_distance	8.0
13	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_9_	55	55	1018	1018	span_distance	9.0
14	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_10_	42	42	957	957	span_distance	10.0
15	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_11_	45	45	806	806	span_distance	11.0
16	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_12_	44	44	755	755	span_distance	12.0
17	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_13_	45	44	661	660	span_distance	13.0
18	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_14_	46	46	611	611	span_distance	14.0
19	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_15_	23	23	574	574	span_distance	15.0
20	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_16_	29	29	501	501	span_distance	16.0
21	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_17_	29	29	440	440	span_distance	17.0
22	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_18_	28	29	419	420	span_distance	18.0
23	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_19_	27	27	390	390	span_distance	19.0
24	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_20_	20	20	334	334	span_distance	20.0
25	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_21_	15	16	293	294	span_distance	21.0
26	../../jiant_outputs/bert-base-uncased-mix_12-edges-coref-ontonotes/run/	edges-coref-ontonotes	test	_span_distance_22_	16	16	313	313	span_distance	22.0
